주상병명	진료년도	연령	진료인원(명)
수면장애	2017	50대	222
수면장애	2017	60대	244
수면장애	2017	70대	222
수면장애	2017	80대 이상	116
수면장애	2017	30대	0
수면장애	2017	40대	0
수면장애	2017	50대	5
수면장애	2017	60대	5
수면장애	2017	70대	0
수면장애	2017	20대	275
수면장애	2017	30대	440
수면장애	2017	40대	697
수면장애	2017	50대	917
수면장애	2017	60대	607
수면장애	2017	70대	525
수면장애	2017	80대 이상	308
수면장애	2017	20대	188
수면장애	2017	30대	342
수면장애	2017	40대	601
수면장애	2017	50대	871
수면장애	2017	60대	514
수면장애	2017	70대	290
수면장애	2017	80대 이상	191
수면장애	2017	20대	248
수면장애	2017	30대	417
수면장애	2017	40대	711
수면장애	2017	50대	990
수면장애	2017	60대	835
수면장애	2017	70대	875
수면장애	2017	80대 이상	524
수면장애	2017	40대	0
수면장애	2017	70대	0
수면장애	2017	20대	223
수면장애	2017	30대	359
수면장애	2017	40대	620
수면장애	2017	50대	873
수면장애	2017	60대	498
수면장애	2017	70대	472
수면장애	2017	80대 이상	330
수면장애	2017	20대	186
수면장애	2017	30대	288
수면장애	2017	40대	529
수면장애	2017	50대	733
수면장애	2017	60대	494
수면장애	2017	70대	560
수면장애	2017	80대 이상	425
수면장애	2017	20대	44
수면장애	2017	30대	45
수면장애	2017	40대	97
수면장애	2017	50대	149
수면장애	2017	60대	125
수면장애	2017	70대	118
수면장애	2017	80대 이상	87
수면장애	2017	20대	129
수면장애	2017	30대	205
수면장애	2017	40대	325
수면장애	2017	50대	446
수면장애	2017	60대	360
수면장애	2017	70대	315
수면장애	2017	80대 이상	162
수면장애	2017	20대	339
수면장애	2017	30대	705
수면장애	2017	40대	1115
수면장애	2017	50대	1390
수면장애	2017	60대	1266
수면장애	2017	70대	1136
수면장애	2017	80대 이상	643
수면장애	2017	20대	114
수면장애	2017	30대	267
수면장애	2017	40대	334
수면장애	2017	50대	419
수면장애	2017	60대	332
수면장애	2017	70대	261
수면장애	2017	80대 이상	104
수면장애	2017	20대	235
수면장애	2017	30대	453
수면장애	2017	40대	733
수면장애	2017	50대	901
수면장애	2017	60대	593
수면장애	2017	70대	448
수면장애	2017	80대 이상	254
수면장애	2017	20대	151
수면장애	2017	30대	285
수면장애	2017	40대	391
수면장애	2017	50대	674
수면장애	2017	60대	615
수면장애	2017	70대	462
수면장애	2017	80대 이상	362
수면장애	2017	20대	83
수면장애	2017	30대	138
수면장애	2017	40대	210
수면장애	2017	50대	436
수면장애	2017	60대	316
수면장애	2017	70대	289
수면장애	2017	80대 이상	202
수면장애	2017	20대	126
수면장애	2017	30대	300
수면장애	2017	40대	359
수면장애	2017	50대	534
수면장애	2017	60대	521
수면장애	2017	70대	335
수면장애	2017	80대 이상	190
수면장애	2017	20대	0
수면장애	2017	50대	0
수면장애	2017	20대	170
수면장애	2017	30대	244
수면장애	2017	40대	410
수면장애	2017	50대	575
수면장애	2017	60대	544
수면장애	2017	70대	486
수면장애	2017	80대 이상	299
수면장애	2017	20대	229
수면장애	2017	30대	465
수면장애	2017	40대	834
수면장애	2017	50대	930
수면장애	2017	60대	965
수면장애	2017	70대	1092
수면장애	2017	80대 이상	583
수면장애	2017	20대	202
수면장애	2017	30대	360
수면장애	2017	40대	795
수면장애	2017	50대	933
수면장애	2017	60대	1143
수면장애	2017	70대	1244
수면장애	2017	80대 이상	589
수면장애	2017	20대	254
수면장애	2017	30대	503
수면장애	2017	40대	736
수면장애	2017	50대	904
수면장애	2017	60대	836
수면장애	2017	70대	784
수면장애	2017	80대 이상	466
수면장애	2017	20대	137
수면장애	2017	30대	257
수면장애	2017	40대	358
수면장애	2017	50대	445
수면장애	2017	60대	384
수면장애	2017	70대	342
수면장애	2017	80대 이상	207
수면장애	2017	20대	98
수면장애	2017	30대	163
